1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 
1, 1, 1, 1, 1, 1, 11, 12, 1, 1, 1, 1, 1, 1, 1, 20, 
1, 1, 1, 1, 1, 1, 26, 27, 1, 1, 1, 1, 1, 1, 33, 34, 
1, 1, 1, 1, 39, 40, 15, 16, 1, 1, 1, 1, 45, 46, 34, 16, 
1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 5, 6, 7, 8, 9, 10, 
1, 13, 14, 15, 16, 17, 18, 19, 21, 22, 16, 16, 16, 23, 24, 25, 
28, 16, 16, 29, 30, 31, 32, 1, 16, 16, 35, 36, 37, 1, 1, 38, 
16, 16, 41, 42, 43, 1, 1, 44, 16, 16, 16, 47, 48, 49, 50, 51, 
1, 1, 1, 2, 52, 53, 16, 16, 1, 1, 1, 1, 59, 60, 34, 16, 
1, 1, 1, 1, 1, 64, 65, 16, 1, 1, 1, 1, 1, 1, 68, 16, 
1, 1, 1, 1, 1, 1, 71, 72, 1, 1, 1, 1, 1, 1, 73, 74, 
1, 1, 1, 1, 1, 1, 76, 77, 1, 1, 1, 1, 1, 2, 78, 79, 
16, 54, 16, 16, 55, 56, 57, 58, 16, 54, 16, 16, 16, 61, 62, 63, 
16, 16, 66, 16, 16, 16, 16, 67, 16, 16, 16, 69, 70, 16, 16, 16, 
16, 16, 16, 16, 16, 16, 16, 16, 16, 75, 16, 16, 16, 16, 16, 16, 
16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 74, 16, 16, 16, 16, 




1, 2, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 
19, 20, 21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 8, 8, 34, 35, 
38, 39, 8, 40, 41, 8, 42, 43, 35, 47, 8, 48, 49, 50, 51, 52, 
55, 56, 8, 57, 58, 59, 60, 61, 64, 65, 66, 67, 68, 68, 68, 68, 
1, 8, 8, 8, 8, 8, 8, 8, 17, 18, 8, 8, 8, 8, 8, 8, 
27, 28, 29, 1, 8, 8, 8, 8, 36, 1, 37, 8, 8, 8, 8, 8, 
44, 45, 46, 8, 8, 8, 8, 8, 53, 54, 1, 8, 8, 8, 8, 8, 
62, 63, 8, 8, 8, 8, 8, 8, 68, 69, 70, 8, 8, 8, 8, 8, 
71, 72, 73, 68, 68, 68, 68, 68, 76, 68, 68, 68, 68, 77, 68, 78, 
68, 68, 68, 68, 81, 82, 83, 84, 68, 88, 68, 89, 90, 91, 92, 93, 
68, 68, 96, 97, 98, 99, 100, 101, 68, 68, 68, 105, 106, 35, 35, 107, 
68, 68, 68, 68, 112, 123, 113, 114, 68, 68, 74, 68, 120, 130, 131, 132, 
68, 74, 75, 1, 8, 8, 8, 8, 78, 68, 79, 80, 8, 8, 8, 8, 
85, 74, 86, 87, 1, 8, 8, 8, 94, 68, 68, 95, 8, 8, 8, 8, 
102, 103, 68, 68, 104, 8, 8, 8, 108, 109, 110, 68, 111, 1, 8, 8, 
115, 116, 68, 117, 118, 119, 8, 8, 68, 68, 68, 86, 133, 134, 8, 8, 



1, 1, 1, 1, 2, 3, 4, 5, 1, 1, 1, 1, 1, 11, 12, 13, 
1, 1, 1, 1, 1, 1, 20, 21, 1, 1, 1, 1, 1, 1, 24, 8, 
1, 1, 1, 1, 1, 28, 29, 7, 1, 1, 1, 1, 1, 35, 7, 7, 
1, 1, 1, 1, 1, 38, 10, 33, 1, 1, 1, 1, 1, 41, 42, 43, 
6, 7, 8, 9, 10, 10, 8, 7, 14, 15, 16, 17, 18, 10, 7, 19, 
22, 8, 7, 7, 7, 23, 7, 7, 7, 7, 7, 7, 7, 25, 26, 27, 
30, 7, 31, 32, 7, 33, 34, 8, 10, 7, 36, 37, 7, 7, 7, 7, 
7, 39, 40, 7, 7, 7, 7, 7, 44, 28, 45, 7, 7, 46, 47, 48, 
1, 1, 1, 1, 1, 1, 28, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
49, 1, 50, 51, 52, 53, 34, 54, 1, 1, 55, 56, 57, 58, 7, 59, 
